"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andhra Pradesh","Kurnool","2021-07-18","2021","07","4.022385689","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-19","2021","07","5.842518248","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-20","2021","07","0.999560609","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-21","2021","07","4.567322009","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-22","2021","07","19.29364421","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-23","2021","07","8.004678064","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-24","2021","07","0.021271616","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-25","2021","07","0.018840661","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-26","2021","07","0.00141557","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-27","2021","07","NA","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-28","2021","07","NA","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-29","2021","07","NA","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-30","2021","07","0.092600302","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-31","2021","07","0.766380003","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2021-07-01","2021","07","0.824852705","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2021-07-02","2021","07","3.621395647","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2021-07-03","2021","07","3.35841792","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2021-07-04","2021","07","1.877505993","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2021-07-05","2021","07","10.91302669","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2021-07-06","2021","07","10.70592097","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2021-07-07","2021","07","0.830470677","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2021-07-08","2021","07","12.88108527","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2021-07-09","2021","07","5.093544405","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2021-07-10","2021","07","7.776144252","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2021-07-11","2021","07","1.456888445","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2021-07-12","2021","07","0.367168283","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2021-07-13","2021","07","0.736484648","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2021-07-14","2021","07","5.283529727","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2021-07-15","2021","07","15.09586379","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2021-07-16","2021","07","22.0460453","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2021-07-17","2021","07","11.86205066","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2021-07-18","2021","07","4.377618513","IMD GRID MODEL"
